industry,Name,Brand,Categories,Rate Count,Price
Beer,Pipeworks Ninja vs. Unicorn,Pipeworks Brewing Company,"ALE, Imperial  Double IPA, IPA",17,$10.00
Beer,Pipeworks Lizard King,Pipeworks Brewing Company,"ALE, Pale Ale",8,$11.54
Beer,Pipeworks Blood Of The Unicorn,Pipeworks Brewing Company,"ALE, Amber  Red Ale",1,$11.19
Beer,Pipeworks Brief Relief,Pipeworks Brewing Company,"ALE, Amber  Red Ale",1,$10.99
Beer,Pipeworks Sangremancer Red Ale,Pipeworks Brewing Company,"ALE, Amber  Red Ale",1,$8.99
Beer,Pipeworks Sam Vs. Unicorn,Pipeworks Brewing Company,"ALE, Amber  Red Ale",1,$10.99
Beer,Pipeworks Pineapple Bling Belgian Golden Ale,Pipeworks Brewing Company,"ALE, Golden  Blonde Ale",1,$9.99
Beer,Pipeworks Soma,Pipeworks Brewing Company,"ALE, Golden  Blonde Ale",1,$10.99
Beer,Pipeworks Pineapple Bling Golden Ale ⅙ Barrel,Pipeworks Brewing Company,"ALE, Golden  Blonde Ale",1,$217.00
Beer,Pipeworks XO Man O War Galactic Golden Ale,Pipeworks Brewing Company,"ALE, Golden  Blonde Ale",1,$8.99
Beer,Pipeworks The Mighty Thor,Pipeworks Brewing Company,"ALE, Imperial Porter, Porter",1,$10.50
Beer,Pipeworks Batata Obscura,Pipeworks Brewing Company,"ALE, Porter",1,$10.99
Beer,Pipeworks Hello…,Pipeworks Brewing Company,"ALE, Porter",1,$8.99
Beer,Pipeworks Easter Bunny V.S.O.P.,Pipeworks Brewing Company,"ALE, Wheat Ale",1,$9.99
Beer,Pipeworks Cohen’s State Of Kind,Pipeworks Brewing Company,"ALE, Wheat Ale, Witbier",1,$9.99
Beer,Pipeworks Budapest Gambit,Pipeworks Brewing Company,"ALE, Wheat Ale, Witbier",1,$9.00
Beer,Pipeworks Elijah’s Revival,Pipeworks Brewing Company,"ALE, Wheat Ale",1,$10.99
Beer,Pipeworks A Foolish Wit,Pipeworks Brewing Company,"ALE, Wheat Ale, Witbier",1,$8.79
Beer,Pipeworks Zommelier,Pipeworks Brewing Company,"ALE, Wheat Ale",1,$10.99
Beer,Pipeworks Kate’s Weirdo Wit,Pipeworks Brewing Company,"ALE, Wheat Ale",1,$9.00
Beer,Pipeworks Blue Lady,Pipeworks Brewing Company,"ALE, Wheat Ale",1,$8.99
Beer,Pipeworks Flower Child,Pipeworks Brewing Company,"ALE, Wheat Ale",1,$7.99
Beer,Pipeworks Harbinger,Pipeworks Brewing Company,"ALE, Wheat Ale, Witbier",1,$8.99
Beer,Pipeworks Flavor Memory,Pipeworks Brewing Company,"ALE, Wheat Ale, Witbier",1,$8.99
Beer,Pipeworks G & T,Pipeworks Brewing Company,"ALE, Belgian Strong Ale, Belgian-Style Ale",1,$6.99
Beer,Pipeworks Poivre Vert,Pipeworks Brewing Company,"ALE, Belgian-Style Ale, Saison  Farmhouse Ale",1,$10.00
Beer,Pipeworks North & Western,Pipeworks Brewing Company,"ALE, Belgian-Style Ale, Saison  Farmhouse Ale",1,$10.00
Beer,Pipeworks Glaucus,Pipeworks Brewing Company,"ALE, Belgian-Style Ale, IPA",1,$11.99
Beer,Pipeworks Any Other Name Rose Saison,Pipeworks Brewing Company,"ALE, Belgian-Style Ale, Saison  Farmhouse Ale",1,$6.99
Beer,Pipeworks Nagami Equinox,Pipeworks Brewing Company,"ALE, Belgian Strong Ale, Belgian-Style Ale",1,$10.99
Beer,Pipeworks Derketo Belgian Double IPA,Pipeworks Brewing Company,"ALE, Belgian-Style Ale, IPA",1,$10.99
Beer,Pipeworks Zombie Gnomes,Pipeworks Brewing Company,"ALE, Belgian-Style Ale, Saison  Farmhouse Ale",1,$10.00
Beer,Pipeworks Mosaic Saison,Pipeworks Brewing Company,"ALE, Belgian-Style Ale, Saison  Farmhouse Ale",1,$8.49
Beer,Pipeworks Citra Saison,Pipeworks Brewing Company,"ALE, Belgian-Style Ale, Saison  Farmhouse Ale",1,$10.00
Beer,Pipeworks Cucumber Saison,Pipeworks Brewing Company,"ALE, Belgian-Style Ale, Saison  Farmhouse Ale",1,$6.99
Beer,Pipeworks Razbeardo,Pipeworks Brewing Company,"ALE, Belgian-Style Ale",1,
Beer,Pipeworks Peek A Brew,Pipeworks Brewing Company,"ALE, Belgian Strong Ale, Belgian-Style Ale",1,$10.99
Beer,Pipeworks Gussied Cochon,Pipeworks Brewing Company,"ALE, Belgian Strong Ale, Belgian-Style Ale",1,$9.99
Beer,Pipeworks Ca$H 4 Gold,Pipeworks Brewing Company,"ALE, Belgian Strong Ale, Belgian-Style Ale",1,$10.99
Beer,Pipeworks The Bicent,Pipeworks Brewing Company,"ALE, Belgian Strong Ale, Belgian-Style Ale",1,$9.99
Beer,Pipeworks Saison Du,Pipeworks Brewing Company,"ALE, Belgian-Style Ale, Saison  Farmhouse Ale",1,$9.99
Beer,Pipeworks Fully Hop,Pipeworks Brewing Company,"ALE, Belgian-Style Ale, Saison  Farmhouse Ale",1,$10.89
