product_name,brand_name,rating,reviews,primary_category
Fragrance Discovery Set,19-69,3.6364,11.0,Fragrance
La Habana Eau de Parfum,19-69,4.1538,13.0,Fragrance
Rainbow Bar Eau de Parfum,19-69,4.25,16.0,Fragrance
Kasbah Eau de Parfum,19-69,4.4762,21.0,Fragrance
Purple Haze Eau de Parfum,19-69,3.2308,13.0,Fragrance
Kasbah Eau de Parfum Travel Spray,19-69,4.4762,21.0,Fragrance
Purple Haze Eau de Parfum Travel Spray,19-69,3.2308,13.0,Fragrance
Invisible Post Eau de Parfum,19-69,3.625,8.0,Fragrance
Capri Eau de Parfum,19-69,3.5714,7.0,Fragrance
Invisible Post Eau de Parfum Travel Spray,19-69,3.625,8.0,Fragrance
Rainbow Bar Eau de Parfum Travel Spray,19-69,4.25,16.0,Fragrance
Capri Eau de Parfum Travel Spray,19-69,3.5714,7.0,Fragrance
L'air Barbes Eau de Parfum,19-69,3.0,4.0,Fragrance
L'air Barbes Eau de Parfum Travel Spray,19-69,3.0,4.0,Fragrance
AFRICAN Beauty Butter- Intensive Dry Skin Treatment,54 Thrones,4.3256,258.0,Bath & Body
African Beauty Butter Mini Gift Set,54 Thrones,3.561,41.0,Bath & Body
African Beauty Butter Collection Deluxe Tin,54 Thrones,4.2273,22.0,Bath & Body
Mini AFRICAN Beauty Butter- Intensive Dry Skin Treatment,54 Thrones,4.5175,143.0,Bath & Body
ABBOTT Sampler Set,ABBOTT,4.8163,49.0,Fragrance
The Cape Perfume,ABBOTT,4.6111,18.0,Fragrance
Crescent Beach Perfume Travel Spray,ABBOTT,4.7778,9.0,Fragrance
Crescent Beach Perfume,ABBOTT,4.5882,17.0,Fragrance
Seqouia Eau de Parfum Travel Spray,ABBOTT,4.1667,6.0,Fragrance
Sequoia Perfume,ABBOTT,4.619,21.0,Fragrance
Mojave Perfume Travel Spray,ABBOTT,4.7143,7.0,Fragrance
The Cape Perfume Travel Spray,ABBOTT,3.8333,6.0,Fragrance
Big Sky Eau de Parfum Travel Spray,ABBOTT,4.25,4.0,Fragrance
Big Sky Eau de Parfum,ABBOTT,4.625,8.0,Fragrance
Montecito Perfume Travel Spray,ABBOTT,3.7143,7.0,Fragrance
Montecito Perfume,ABBOTT,4.1111,9.0,Fragrance
Mojave Perfume,ABBOTT,4.0909,11.0,Fragrance
Blu Mediterraneo Mini Eau de Toilette Set,Acqua di Parma,3.3333,12.0,Mini Size
Mirto di Panarea,Acqua di Parma,4.4359,39.0,Fragrance
Arancia di Capri,Acqua di Parma,3.9459,37.0,Fragrance
Colonia,Acqua di Parma,4.2125,80.0,Fragrance
Magnolia Nobile,Acqua di Parma,4.2791,43.0,Fragrance
Yuzu Eau de Parfum,Acqua di Parma,4.6667,6.0,Fragrance
Oud Eau de Parfum,Acqua di Parma,4.2632,19.0,Fragrance
Colonia Essenza,Acqua di Parma,4.5333,15.0,Fragrance
Buongiorno Diffuser,Acqua di Parma,4.625,8.0,Fragrance
Colonia Alcohol-Free Deodorant,Acqua di Parma,3.2,10.0,Bath & Body
Colonia Pura,Acqua di Parma,4.5714,7.0,Fragrance
Arancia di Capri Candle,Acqua di Parma,,,Fragrance
Fico di Amalfi Candle,Acqua di Parma,4.0,2.0,Fragrance
Aperitivo In Terrazza Diffuser,Acqua di Parma,5.0,1.0,Fragrance
Luce di Colonia Diffuser,Acqua di Parma,2.6667,3.0,Fragrance
Baomint Deep Conditioning Treatment,adwoa beauty,4.5273,311.0,Hair
Blue Tansy Reparative Mask,adwoa beauty,4.7581,492.0,Hair
Baomint Leave In Conditioning Styler,adwoa beauty,4.3472,144.0,Hair
Blue Tansy Leave in Conditioning Styler,adwoa beauty,4.5762,210.0,Hair
Baomint Moisturizing Shampoo,adwoa beauty,4.1324,136.0,Hair
Blue Tansy Clarifying Gel Shampoo,adwoa beauty,4.3109,193.0,Hair
Melonberry Hair Milk Leave-In Conditioner,adwoa beauty,4.3826,1265.0,Hair
Baomint Protect + Shine Oil Blend,adwoa beauty,4.5359,237.0,Hair
Baomint Moisturizing Curl Defining Cream,adwoa beauty,4.5635,252.0,Hair
Blue Tansy Treatment Serum,adwoa beauty,4.6465,215.0,Hair
Baomint Moisturizing Curl Defining Gel,adwoa beauty,4.4188,234.0,Hair
Blue Tansy Reparative Conditioner,adwoa beauty,4.3495,186.0,Hair
Mini Baomint Deep Conditioning Treatment,adwoa beauty,4.2,5.0,Hair
Mini Baomint Deluxe Travel Kit,adwoa beauty,4.7283,173.0,Hair
Mini Baomint Moisturizing Curl Defining Gel,adwoa beauty,,,Hair
Mini Baomint Moisturizing Curl Defining Cream,adwoa beauty,,,Hair
Mini Baomint Leave-In Conditioning Styler,adwoa beauty,,,Hair
Mini Baomint Moisturizing Shampoo,adwoa beauty,,,Hair
Mini Baomint Protect + Shine Oil Blend,adwoa beauty,,,Hair
Rose Lip Conditioner,AERIN,4.26,527.0,Makeup
Mediterranean Honeysuckle,AERIN,4.2158,139.0,Fragrance
Mediterranean Honeysuckle Eau de Parfum Travel Spray,AERIN,4.2,50.0,Fragrance
Amber Musk,AERIN,4.3833,120.0,Fragrance
Amber Musk Eau de Parfum Travel Spray,AERIN,4.1875,48.0,Mini Size
Hibiscus Palm Eau de Parfum,AERIN,4.3333,60.0,Fragrance
